"asset_id","category","subtype","name","prompt"
"wayfarer-hull-mk2","01-ships","hangar-portrait","Wayfarer Mk. II","Hangar portrait, 3/4 hero angle on a plain dark backdrop. Wayfarer Mk. II, a scout-class starship built by Halcyon Driveworks house style: Expedition white, doubled nav-lights, panels made to be swapped in the dark.. Built for expeditions that were never meant to end in combat. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"wayfarer-hull-mk2","01-ships","in-run-sprite","Wayfarer Mk. II","Top-down in-run sprite, straight overhead view, centered. Wayfarer Mk. II, a scout-class starship built by Halcyon Driveworks house style: Expedition white, doubled nav-lights, panels made to be swapped in the dark.. Built for expeditions that were never meant to end in combat. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"wayfarer-hull-mk2","01-ships","roster-thumbnail","Wayfarer Mk. II","Small square roster-select thumbnail, simplified silhouette. Wayfarer Mk. II, a scout-class starship built by Halcyon Driveworks house style: Expedition white, doubled nav-lights, panels made to be swapped in the dark.. Built for expeditions that were never meant to end in combat. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"bastion-hull-mk1","01-ships","hangar-portrait","Bastion Mk. I","Hangar portrait, 3/4 hero angle on a plain dark backdrop. Bastion Mk. I, a guardian-class starship built by Ironmoor Foundry house style: Foundry grey, proud weld seams, amber running lights.. Slow to move, slower to fall. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"bastion-hull-mk1","01-ships","in-run-sprite","Bastion Mk. I","Top-down in-run sprite, straight overhead view, centered. Bastion Mk. I, a guardian-class starship built by Ironmoor Foundry house style: Foundry grey, proud weld seams, amber running lights.. Slow to move, slower to fall. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"bastion-hull-mk1","01-ships","roster-thumbnail","Bastion Mk. I","Small square roster-select thumbnail, simplified silhouette. Bastion Mk. I, a guardian-class starship built by Ironmoor Foundry house style: Foundry grey, proud weld seams, amber running lights.. Slow to move, slower to fall. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"aurelia-hull-mk1","01-ships","hangar-portrait","Aurelia Mk. I","Hangar portrait, 3/4 hero angle on a plain dark backdrop. Aurelia Mk. I, an experimental-class starship built by Meridian Yards house style: Survey white with sensor-vane crowns; instruments before armour.. A survey platform with more sensor mass than armour. It has never lost a fight it saw coming, because it always sees them coming. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"aurelia-hull-mk1","01-ships","in-run-sprite","Aurelia Mk. I","Top-down in-run sprite, straight overhead view, centered. Aurelia Mk. I, an experimental-class starship built by Meridian Yards house style: Survey white with sensor-vane crowns; instruments before armour.. A survey platform with more sensor mass than armour. It has never lost a fight it saw coming, because it always sees them coming. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"aurelia-hull-mk1","01-ships","roster-thumbnail","Aurelia Mk. I","Small square roster-select thumbnail, simplified silhouette. Aurelia Mk. I, an experimental-class starship built by Meridian Yards house style: Survey white with sensor-vane crowns; instruments before armour.. A survey platform with more sensor mass than armour. It has never lost a fight it saw coming, because it always sees them coming. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
"sable-dart-mk1","01-ships","hangar-portrait","Sable Dart Mk. I","Hangar portrait, 3/4 hero angle on a plain dark backdrop. Sable Dart Mk. I, an interceptor-class starship built by Helios Industries house style: Sun-gold trim over white ceramic, engines like sunrise.. Helios built it to win races. The Collapse repurposed the finish line. House style: chibi-proportioned stylized 3D, flat toon/cel-shading (max two-tone gradient, no PBR falloff), rounded chunky forms with visible thickness, soft dark outline or additive drop-glow for edge separation (never a realistic cast shadow), saturated flat colour, no gradients past a subtle two-stop, no fine detail, no film grain/vignette/chromatic aberration/lens flare/dust/scratches. Silhouette must read clearly at 32px."
