"asset_id","name","category","priority","pipeline","key_colour","palette_constraint","asset_type","view","suggested_size","nine_slice","subject","description_or_lore","faction","faction_palette","faction_visual_signature","biome","biome_visual_identity_status","manufacturer","manufacturer_visual_identity","rarity","rarity_hex","used_in","additional_context"
"_directive","ART DIRECTIVE (applies to every row below)","directive","","","","","","","","","GAME FRAMING: Afterlight is a top-down 360° SPACE roguelite. The player is a STARSHIP seen from above, not a person on foot. Ships, weapons, equipment, and ship modules are all SPACE HARDWARE — hull-mounted armaments, pods, cannons, engine/reactor/shield modules — rendered as mechanical kit at a top-down or 3/4 hardware angle, NEVER held, worn, or carried by a character, and never an infantry firearm. A 'weapon' is a ship armament that bolts to a hull hardpoint (turret / cannon / missile pod / beam emitter / lattice array), not a gun a soldier holds. Weapon FAMILY names (railguns, shotguns, missileLaunchers, laserArrays…) describe the FIRING BEHAVIOUR, not an infantry form-factor. Commanders are the ONLY human/character assets in the game (chibi pilots) — everything else is hardware, creatures, environments, or UI. Chibi-proportioned stylized 3D rendered with flat toon/cel-shading — Nintendo-inspired, hopeful not grim. The 8 Visual Style Rules below bind every asset. RULES: 1. Shapes are rounded and chunky. No 1px lines, no sharp rectangles. Minimum corner radius on any UI panel or bar. Health bars, buttons, frames all have visible thickness. 2. Colour is saturated and flat. No gradients longer than a subtle two-stop. No desaturated greys except the defined rarity/faction colours. Use the loot-tier hex values as the canonical accent palette. 3. VFX are bold and brief. Particles are large, few, and rounded — fat circles, chunky stars, thick rings. Never fine dust, never realistic smoke, never lens flares. Additive glow is allowed but clipped tight to the source. 4. Outlines over realism. Where an entity needs separation from the background, prefer a soft dark outline or drop-glow, never a realistic shadow. 5. Text is chunky and friendly. Rounded, heavy-weight type for damage numbers and headers. No thin or condensed faces anywhere in gameplay. 6. Status effects tint, they don't texture. Burn = warm orange tint + fat ember particles; freeze = pale blue tint + chunky frost ring. A tint plus one particle loop, never a material change. 7. Nothing gritty. No scratches, film grain, chromatic aberration, vignettes, or screen dirt. The camera is clean. 8. Readability beats fidelity. Any effect that obscures the player ship or enemy silhouettes for more than ~200ms gets scaled down. The silhouette is sacred. LITMUS: Shrink any new visual element to 32px. If you can't tell what it is, redesign it. DELIVERY — keyed: Pre-keyed RGBA PNG, trimmed to content, 2px alpha pad, nose/face pointing up (north). Never assume a background colour. additive: RGB PNG on pure black — black IS the transparency, rendered additively. Never rely on an alpha channel. fullbleed: Opaque image, rendered as a background. No keying, no blending tricks. COLOUR LAW: Nothing green in any KEYED sprite's palette. Lore-green subjects substitute: regeneration → gold, poison/toxic → amber, biomass → amber-yellow. Green is permitted freely in ADDITIVE and FULL-BLEED assets. Crystal Dominion sprites are magenta-keyed — magenta forbidden in their palettes instead (per-entry keyColour field). DERIVATION: Derived assets are NOT in this file and must not be generated: ship roster thumbnails, enemy move/attack/death states, and the World-Ender/Vanguard boss variants are produced in code from their parent asset (Asset Pipeline Directive §2).","","","","","","","","","","","","{""rarityPalette"":{""damaged"":""#7a8296"",""common"":""#dce4f2"",""improved"":""#4de868"",""rare"":""#4d7cff"",""epic"":""#9b5cff"",""legendary"":""#ffc652"",""ancient"":""#c8323c"",""mythic"":""#fff3d6"",""singularity"":""#e4d4ff""}}"
"wayfarer-hull-mk2:portrait","Wayfarer Mk. II","ships","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","character/vehicle portrait","3/4 hero angle, plain dark backdrop","512x512","","the Wayfarer Mk. II, scout-class starship","Built for expeditions that were never meant to end in combat.","","","","","","Halcyon Driveworks","Expedition white, doubled nav-lights, panels made to be swapped in the dark.","","","hangar/loadout screens","{""shipClass"":""scout"",""tier"":""common"",""specialisation"":""exploration"",""manufacturerEngineering"":""Endurance drives and field maintainability.""}"
"wayfarer-hull-mk2:sprite","Wayfarer Mk. II","ships","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","in-run sprite","top-down, nose north","256x256, trimmed","","the Wayfarer Mk. II, scout-class starship","Built for expeditions that were never meant to end in combat.","","","","","","Halcyon Driveworks","Expedition white, doubled nav-lights, panels made to be swapped in the dark.","","","in-run gameplay","{""shipClass"":""scout"",""tier"":""common"",""specialisation"":""exploration"",""manufacturerEngineering"":""Endurance drives and field maintainability.""}"
"bastion-hull-mk1:portrait","Bastion Mk. I","ships","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","character/vehicle portrait","3/4 hero angle, plain dark backdrop","512x512","","the Bastion Mk. I, guardian-class starship","Slow to move, slower to fall.","","","","","","Ironmoor Foundry","Foundry grey, proud weld seams, amber running lights.","","","hangar/loadout screens","{""shipClass"":""guardian"",""tier"":""uncommon"",""specialisation"":""tanking"",""manufacturerEngineering"":""Hull integrity and stationary resilience.""}"
"bastion-hull-mk1:sprite","Bastion Mk. I","ships","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","in-run sprite","top-down, nose north","256x256, trimmed","","the Bastion Mk. I, guardian-class starship","Slow to move, slower to fall.","","","","","","Ironmoor Foundry","Foundry grey, proud weld seams, amber running lights.","","","in-run gameplay","{""shipClass"":""guardian"",""tier"":""uncommon"",""specialisation"":""tanking"",""manufacturerEngineering"":""Hull integrity and stationary resilience.""}"
"aurelia-hull-mk1:portrait","Aurelia Mk. I","ships","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","character/vehicle portrait","3/4 hero angle, plain dark backdrop","512x512","","the Aurelia Mk. I, experimental-class starship","A survey platform with more sensor mass than armour. It has never lost a fight it saw coming, because it always sees them coming.","","","","","","Meridian Yards","Survey white with sensor-vane crowns; instruments before armour.","","","hangar/loadout screens","{""shipClass"":""experimental"",""tier"":""ancient"",""specialisation"":""scientificOperations"",""manufacturerEngineering"":""Sensor mass and analysis suites.""}"
"aurelia-hull-mk1:sprite","Aurelia Mk. I","ships","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","in-run sprite","top-down, nose north","256x256, trimmed","","the Aurelia Mk. I, experimental-class starship","A survey platform with more sensor mass than armour. It has never lost a fight it saw coming, because it always sees them coming.","","","","","","Meridian Yards","Survey white with sensor-vane crowns; instruments before armour.","","","in-run gameplay","{""shipClass"":""experimental"",""tier"":""ancient"",""specialisation"":""scientificOperations"",""manufacturerEngineering"":""Sensor mass and analysis suites.""}"
"sable-dart-mk1:portrait","Sable Dart Mk. I","ships","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","character/vehicle portrait","3/4 hero angle, plain dark backdrop","512x512","","the Sable Dart Mk. I, interceptor-class starship","Helios built it to win races. The Collapse repurposed the finish line.","","","","","","Helios Industries","Sun-gold trim over white ceramic, engines like sunrise.","","","hangar/loadout screens","{""shipClass"":""interceptor"",""tier"":""uncommon"",""specialisation"":""speed"",""manufacturerEngineering"":""Thrust-to-mass ratios nobody else certifies.""}"
"sable-dart-mk1:sprite","Sable Dart Mk. I","ships","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","in-run sprite","top-down, nose north","256x256, trimmed","","the Sable Dart Mk. I, interceptor-class starship","Helios built it to win races. The Collapse repurposed the finish line.","","","","","","Helios Industries","Sun-gold trim over white ceramic, engines like sunrise.","","","in-run gameplay","{""shipClass"":""interceptor"",""tier"":""uncommon"",""specialisation"":""speed"",""manufacturerEngineering"":""Thrust-to-mass ratios nobody else certifies.""}"
"falchion-mk2:portrait","Falchion Mk. II","ships","1","keyed","green","no green anywhere in this sprite's palette (green-keyed; see directive.colourLaw for substitutions)","character/vehicle portrait","3/4 hero angle, plain dark backdrop","512x512","","the Falchion Mk. II, assault-class starship","A duelling hull with the safeties filed off and the paperwork lost on purpose.","","","","","","Vanguard Fleetworks","Predator lines, gunmetal blue, one blade-edge running light.","","","hangar/loadout screens","{""shipClass"":""assault"",""tier"":""rare"",""specialisation"":""criticalHits"",""manufacturerEngineering"":""Fire-control integration and target acquisition.""}"
